xtype	sim_id	trial	strategy	p
discrete	6	4	1	0.0
discrete	6	4	2	0.0
discrete	6	4	3	1.0
discrete	6	5	0	0.0
discrete	6	5	1	0.0
discrete	6	5	2	0.0
discrete	6	5	3	1.0
discrete	6	6	0	0.0
discrete	6	6	1	0.0
discrete	6	6	2	0.0
discrete	6	6	3	1.0
discrete	6	7	0	0.0
discrete	6	7	1	0.0
discrete	6	7	2	0.0
discrete	6	7	3	1.0
discrete	6	8	0	0.0
discrete	6	8	1	0.0
discrete	6	8	2	0.0
discrete	6	8	3	1.0
discrete	6	9	0	0.0
discrete	6	9	1	0.0
discrete	6	9	2	0.0
discrete	6	9	3	1.0
discrete	6	10	0	0.0
discrete	6	10	1	0.0
discrete	6	10	2	0.0
discrete	6	10	3	1.0
discrete	6	11	0	0.0
discrete	6	11	1	0.0
discrete	6	11	2	0.0
discrete	6	11	3	1.0
discrete	6	12	0	0.0
discrete	6	12	1	0.0
discrete	6	12	2	0.0
discrete	6	12	3	1.0
discrete	6	13	0	0.0
discrete	6	13	1	0.0
discrete	6	13	2	0.0
discrete	6	13	3	1.0
discrete	6	14	0	0.0
discrete	6	14	1	0.0
discrete	6	14	2	0.0
discrete	6	14	3	1.0
discrete	6	15	0	0.0
discrete	6	15	1	0.0
discrete	6	15	2	0.0
discrete	6	15	3	1.0
discrete	6	16	0	0.0
discrete	6	16	1	0.0
discrete	6	16	2	0.0
discrete	6	16	3	1.0
discrete	6	17	0	0.0
discrete	6	17	1	0.0
discrete	6	17	2	0.0
discrete	6	17	3	1.0
discrete	6	18	0	0.0
discrete	6	18	1	0.0
discrete	6	18	2	0.0
discrete	6	18	3	1.0
discrete	6	19	0	0.0
discrete	6	19	1	0.0
discrete	6	19	2	0.0
discrete	6	19	3	1.0
discrete	6	20	0	0.0
discrete	6	20	1	0.0
discrete	6	20	2	0.0
discrete	6	20	3	1.0
discrete	6	21	0	0.0
discrete	6	21	1	0.0
discrete	6	21	2	0.0
discrete	6	21	3	1.0
discrete	6	22	0	0.0
discrete	6	22	1	0.0
discrete	6	22	2	0.0
discrete	6	22	3	1.0
discrete	6	23	0	0.0
discrete	6	23	1	0.0
discrete	6	23	2	0.0
discrete	6	23	3	1.0
discrete	6	24	0	0.0
discrete	6	24	1	0.0
discrete	6	24	2	0.0
discrete	6	24	3	1.0
discrete	7	0	0	0.0
discrete	7	0	1	0.0
discrete	7	0	2	1.0
discrete	7	0	3	0.0
discrete	7	1	0	0.0
discrete	7	1	1	0.0
discrete	7	1	2	1.0
discrete	7	1	3	0.0
discrete	7	2	0	0.0
discrete	7	2	1	0.0
discrete	7	2	2	1.0
discrete	7	2	3	0.0
discrete	7	3	0	0.0
discrete	7	3	1	0.0
discrete	7	3	2	1.0
discrete	7	3	3	0.0
discrete	7	4	0	0.0
discrete	7	4	1	0.0
discrete	7	4	2	1.0
discrete	7	4	3	0.0
discrete	7	5	0	0.0
discrete	7	5	1	0.0
discrete	7	5	2	1.0
discrete	7	5	3	0.0
discrete	7	6	0	0.0
discrete	7	6	1	0.0
discrete	7	6	2	1.0
discrete	7	6	3	0.0
discrete	7	7	0	0.0
discrete	7	7	1	0.0
discrete	7	7	2	1.0
discrete	7	7	3	0.0
discrete	7	8	0	0.0
discrete	7	8	1	0.0
discrete	7	8	2	1.0
discrete	7	8	3	0.0
discrete	7	9	0	0.0
discrete	7	9	1	0.0
discrete	7	9	2	0.0
discrete	7	9	3	1.0
discrete	7	10	0	0.0
discrete	7	10	1	0.0
discrete	7	10	2	0.0
discrete	7	10	3	1.0
discrete	7	11	0	0.0
discrete	7	11	1	0.0
discrete	7	11	2	0.0
discrete	7	11	3	1.0
discrete	7	12	0	0.0
discrete	7	12	1	0.0
discrete	7	12	2	0.0
discrete	7	12	3	1.0
discrete	7	13	0	0.0
discrete	7	13	1	0.0
discrete	7	13	2	0.0
discrete	7	13	3	1.0
