sim	trial	strategy	p_actual	p_predicted
5	22	3	1.0	0.99999833
5	23	0	0.0	0.0
5	23	1	0.0	1.2877868e-28
5	23	2	0.0	9.0674683e-07
5	23	3	1.0	0.9999991
5	24	0	0.0	0.0
5	24	1	0.0	1.4486857e-29
5	24	2	0.0	5.798738e-07
5	24	3	1.0	0.99999946
6	0	0	0.0	0.0021900365
6	0	1	0.0	0.09284635
6	0	2	1.0	0.6954316
6	0	3	0.0	0.20953208
6	1	0	0.0	2.7057854e-07
6	1	1	0.0	0.0064782687
6	1	2	0.0	0.36725238
6	1	3	1.0	0.6262691
6	2	0	0.0	3.342992e-11
6	2	1	0.0	0.00031347034
6	2	2	0.0	0.15455347
6	2	3	1.0	0.8451332
6	3	0	0.0	4.1302576e-15
6	3	1	0.0	1.5156335e-05
6	3	2	0.0	0.062812425
6	3	3	1.0	0.93717253
6	4	0	0.0	5.1029237e-19
6	4	1	0.0	7.3280955e-07
6	4	2	0.0	0.025424026
6	4	3	1.0	0.9745753
6	5	0	0.0	6.304652e-23
6	5	1	0.0	3.5431377e-08
6	5	2	0.0	0.010285667
6	5	3	1.0	0.9897143
6	6	0	0.0	7.7893836e-27
6	6	1	0.0	1.7131085e-09
6	6	2	0.0	0.004160978
6	6	3	1.0	0.99583906
6	7	0	0.0	9.62378e-31
6	7	1	0.0	8.2828924e-11
6	7	2	0.0	0.0016832766
6	7	3	1.0	0.99831676
6	8	0	0.0	1.189019e-34
6	8	1	0.0	4.004787e-12
6	8	2	0.0	0.00068095006
6	8	3	1.0	0.9993191
6	9	0	0.0	1.4690406e-38
6	9	1	0.0	1.9363219e-13
6	9	2	0.0	0.0002754706
6	9	3	1.0	0.99972457
6	10	0	0.0	1.809e-42
6	10	1	0.0	9.362199e-15
6	10	2	0.0	0.00011143872
6	10	3	1.0	0.9998886
6	11	0	0.0	0.0
6	11	1	0.0	4.526714e-16
6	11	2	0.0	4.5081553e-05
6	11	3	1.0	0.99995494
6	12	0	0.0	0.0
6	12	1	0.0	2.1887728e-17
6	12	2	0.0	1.8237544e-05
6	12	3	1.0	0.9999818
6	13	0	0.0	0.0
6	13	1	0.0	1.0583975e-18
6	13	2	0.0	7.37812e-06
6	13	3	1.0	0.99999267
6	14	0	0.0	0.0
6	14	1	0.0	5.118852e-20
6	14	2	0.0	2.9850673e-06
6	14	3	1.0	0.9999971
6	15	0	0.0	0.0
6	15	1	0.0	2.476753e-21
6	15	2	0.0	1.2079097e-06
6	15	3	1.0	0.9999988
6	16	0	0.0	0.0
6	16	1	0.0	1.1996464e-22
6	16	2	0.0	4.889817e-07
6	16	3	1.0	0.9999996
6	17	0	0.0	0.0
6	17	1	0.0	5.825815e-24
6	17	2	0.0	1.9814789e-07
6	17	3	1.0	0.9999999
6	18	0	0.0	0.0
6	18	1	0.0	2.8472847e-25
6	18	2	0.0	8.049449e-08
6	18	3	1.0	1.0
6	19	0	0.0	0.0
6	19	1	0.0	1.413118e-26
6	19	2	0.0	3.289921e-08
6	19	3	1.0	1.0
6	20	0	0.0	0.0
6	20	1	0.0	7.268168e-28
6	20	2	0.0	1.3645098e-08
6	20	3	1.0	1.0
6	21	0	0.0	0.0
6	21	1	0.0	4.0353155e-29
6	21	2	0.0	5.8560765e-09
6	21	3	1.0	1.0
6	22	0	0.0	0.0
6	22	1	0.0	2.5776007e-30
6	22	2	0.0	2.7051188e-09
6	22	3	1.0	1.0
6	23	0	0.0	0.0
6	23	1	0.0	2.0315434e-31
6	23	2	0.0	1.4304362e-09
6	23	3	1.0	1.0
6	24	0	0.0	0.0
6	24	1	0.0	2.2853688e-32
6	24	2	0.0	9.147785e-10
6	24	3	1.0	1.0000001
7	0	0	0.0	0.00352633
7	0	1	0.0	0.14984736
7	0	2	1.0	0.4993212
7	0	3	0.0	0.34730506
7	1	0	0.0	4.48563e-07
7	1	1	0.0	0.01073865
7	1	2	1.0	0.6087468
7	1	3	0.0	0.380514
7	2	0	0.0	5.543287e-11
7	2	1	0.0	0.0005196746
7	2	2	0.0	0.25619337
7	2	3	1.0	0.7432869
7	3	0	0.0	6.8527024e-15
7	3	1	0.0	2.5132682e-05
7	3	2	0.0	0.10413027
7	3	3	1.0	0.8958445
7	4	0	0.0	8.478657e-19
7	4	1	0.0	1.2159242e-06
7	4	2	0.0	0.042158023
7	4	3	1.0	0.9578407
7	5	0	0.0	1.051251e-22
7	5	1	0.0	5.888058e-08
7	5	2	0.0	0.017065791
7	5	3	1.0	0.9829341
7	6	0	0.0	1.3101636e-26
7	6	1	0.0	2.8577063e-09
7	6	2	0.0	0.0069139567
7	6	3	1.0	0.993086
7	7	0	0.0	1.6533548e-30
7	7	1	0.0	1.394643e-10
7	7	2	0.0	0.0028071
7	7	3	1.0	0.9971929
7	8	0	0.0	2.1485429e-34
7	8	1	0.0	6.8977753e-12
7	8	2	0.0	0.0011457175
7	8	3	1.0	0.9988542
7	9	0	0.0	2.9777264e-38
7	9	1	0.0	3.519936e-13
7	9	2	0.0	0.00047362447
7	9	3	1.0	0.99952626
7	10	0	0.0	4.53e-42
7	10	1	0.0	1.9228327e-14
7	10	2	0.0	0.00020173722
7	10	3	1.0	0.9997982
7	11	0	0.0	0.0
7	11	1	0.0	1.193753e-15
7	11	2	0.0	9.174842e-05
7	11	3	1.0	0.9999082
7	12	0	0.0	0.0
7	12	1	0.0	8.927327e-17
7	12	2	0.0	4.725377e-05
